threshold,tp,fp,tn,fn,accuracy,macro_f1,weighted_f1,fpr,fnr,mcc,model,window,threshold_q,persistence,threshold_resolved,fa_per_hour,dns_delay_s,dns_detected,gtpu_delay_s,gtpu_detected,dns_sustained,gtpu_sustained
0.0192799996584653,2832,60435,71689,2064,0.5438695081010072,0.3897602349185974,0.6745100004972843,0.4574112197632527,0.4215686274509804,0.04505995898574834,ae,3,0.95,1,0.0192799996584653,26.0438048587066,5.746,True,10.284,True,0.9992852037169406,0.4100657706605662
0.0192799996584653,2832,60435,71689,2064,0.5438695081010072,0.3897602349185974,0.6745100004972843,0.4574112197632527,0.4215686274509804,0.04505995898574834,ae,3,0.95,2,0.0192799996584653,14.28619053413684,10.884,True,15.418,True,0.9992852037169406,0.4100657706605662
0.0192799996584653,2832,60435,71689,2064,0.5438695081010072,0.3897602349185974,0.6745100004972843,0.4574112197632527,0.4215686274509804,0.04505995898574834,ae,3,0.95,3,0.0192799996584653,11.953751263257354,16.022,True,2020.308,True,0.9992852037169406,0.4100657706605662
0.0192799996584653,2832,60435,71689,2064,0.5438695081010072,0.3897602349185974,0.6745100004972843,0.4574112197632527,0.4215686274509804,0.04505995898574834,ae,3,0.95,5,0.0192799996584653,6.085546097658289,26.295,True,,False,0.9992852037169406,0.4100657706605662
0.0697904378175735,2390,33427,98697,2506,0.7377536126112976,0.48170223243249055,0.8199632622370663,0.2529971844630801,0.5118464052287581,0.0993406703864005,ae,3,0.99,1,0.0697904378175735,18.913962087495452,31.439,True,82.872,True,0.7190850607576841,0.39576780097226194
0.0697904378175735,2390,33427,98697,2506,0.7377536126112976,0.48170223243249055,0.8199632622370663,0.2529971844630801,0.5118464052287581,0.0993406703864005,ae,3,0.99,2,0.0697904378175735,12.923833960009503,92.9,True,88.005,True,0.7190850607576841,0.39576780097226194
0.0697904378175735,2390,33427,98697,2506,0.7377536126112976,0.48170223243249055,0.8199632622370663,0.2529971844630801,0.5118464052287581,0.0993406703864005,ae,3,0.99,3,0.0697904378175735,11.3812434422233,174.943,True,93.154,True,0.7190850607576841,0.39576780097226194
0.0697904378175735,2390,33427,98697,2506,0.7377536126112976,0.48170223243249055,0.8199632622370663,0.2529971844630801,0.5118464052287581,0.0993406703864005,ae,3,0.99,5,0.0697904378175735,7.543320641957967,728.633,True,103.471,True,0.7190850607576841,0.39576780097226194
0.1095049977302551,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,0.995,1,0.1095049977302551,24.342184390633157,221.073,True,57.097,True,0.511794138670479,0.3840434658278524
0.1095049977302551,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,0.995,2,0.1095049977302551,10.787531627817613,431.243,True,62.245,True,0.511794138670479,0.3840434658278524
0.1095049977302551,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,0.995,3,0.1095049977302551,7.686447597216481,436.39,True,67.415,True,0.511794138670479,0.3840434658278524
0.1095049977302551,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,0.995,5,0.1095049977302551,3.344929954374896,,False,103.471,True,0.511794138670479,0.3840434658278524
0.2247723340988159,1738,13168,118956,3158,0.880849511020289,0.555661202132676,0.9086194351954584,0.09966395204504859,0.6450163398692811,0.15220629458399526,ae,3,0.999,1,0.2247723340988159,10.522481710672217,426.11,True,0.239,True,0.5025017869907077,0.2959679725478982
0.2247723340988159,1738,13168,118956,3158,0.880849511020289,0.555661202132676,0.9086194351954584,0.09966395204504859,0.6450163398692811,0.15220629458399526,ae,3,0.999,2,0.2247723340988159,7.591029627044138,2168.859,True,5.538,True,0.5025017869907077,0.2959679725478982
0.2247723340988159,1738,13168,118956,3158,0.880849511020289,0.555661202132676,0.9086194351954584,0.09966395204504859,0.6450163398692811,0.15220629458399526,ae,3,0.999,3,0.2247723340988159,5.587252253424945,,False,129.202,True,0.5025017869907077,0.2959679725478982
0.2247723340988159,1738,13168,118956,3158,0.880849511020289,0.555661202132676,0.9086194351954584,0.09966395204504859,0.6450163398692811,0.15220629458399526,ae,3,0.999,5,0.2247723340988159,3.2071039974592903,,False,417.34,True,0.5025017869907077,0.2959679725478982
1.2849663496017456,885,404,131720,4011,0.9677784265070792,0.6348467171461436,0.958599807057659,0.0030577336441524627,0.8192401960784313,0.3416945608168539,ae,3,0.9999,1,1.2849663496017456,1.3040455923553478,,False,26.254,True,0.4982130092923517,0.05376036602802402
1.2849663496017456,885,404,131720,4011,0.9677784265070792,0.6348467171461436,0.958599807057659,0.0030577336441524627,0.8192401960784313,0.3416945608168539,ae,3,0.9999,2,1.2849663496017456,0.5884108160627789,,False,31.405,True,0.4982130092923517,0.05376036602802402
1.2849663496017456,885,404,131720,4011,0.9677784265070792,0.6348467171461436,0.958599807057659,0.0030577336441524627,0.8192401960784313,0.3416945608168539,ae,3,0.9999,3,1.2849663496017456,0.11132096520106627,,False,936.799,True,0.4982130092923517,0.05376036602802402
1.2849663496017456,885,404,131720,4011,0.9677784265070792,0.6348467171461436,0.958599807057659,0.0030577336441524627,0.8192401960784313,0.3416945608168539,ae,3,0.9999,5,1.2849663496017456,0.02120399337163167,,False,947.094,True,0.4982130092923517,0.05376036602802402
0.10950499773025513,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,default,1,0.10950499773025513,24.342184390633157,221.073,True,57.097,True,0.511794138670479,0.3840434658278524
0.10950499773025513,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,default,2,0.10950499773025513,10.787531627817613,431.243,True,62.245,True,0.511794138670479,0.3840434658278524
0.10950499773025513,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,ae,3,default,3,0.10950499773025513,7.686447597216481,436.39,True,67.415,True,0.511794138670479,0.3840434658278524
